Program Studi,Semester Saat Ini,Jenis Kelamin,Kepuasan Perpustakaan,Kepuasan Kebersihan,Kepuasan Laboratorium,Kepuasan Ruang Kelas,Kepuasan Sarana Ibadah
Sistem Informasi,7,Laki-laki,Tidak Puas,Puas,Sangat Tidak Puas,Sangat Puas,Puas
Teknik Elektro,8,Perempuan,Cukup Puas,Sangat Tidak Puas,Sangat Puas,Cukup Puas,Cukup Puas
Akuntansi,6,Laki-laki,Tidak Puas,Cukup Puas,Tidak Puas,Sangat Tidak Puas,Sangat Tidak Puas
Manajemen,8,Laki-laki,Sangat Tidak Puas,Sangat Tidak Puas,Sangat Puas,Sangat Puas,Sangat Tidak Puas
Teknik Sipil,8,Perempuan,Sangat Tidak Puas,Cukup Puas,Puas,Sangat Puas,Sangat Puas
Manajemen,7,Laki-laki,Puas,Cukup Puas,Puas,Puas,Sangat Puas
Administrasi Bisnis,5,Perempuan,Sangat Tidak Puas,Puas,Sangat Puas,Cukup Puas,Sangat Tidak Puas
Teknik Informatika,5,Laki-laki,Puas,Cukup Puas,Cukup Puas,Cukup Puas,Cukup Puas
Psikologi,6,Perempuan,Cukup Puas,Puas,Sangat Puas,Sangat Tidak Puas,Cukup Puas
Teknik Industri,2,Perempuan,Tidak Puas,Puas,Sangat Tidak Puas,Puas,Puas
Kimia,2,Laki-laki,Cukup Puas,Sangat Tidak Puas,Tidak Puas,Sangat Tidak Puas,Puas
Teknik Mesin,5,Laki-laki,Sangat Puas,Tidak Puas,Sangat Puas,Sangat Puas,Sangat Puas
Kesehatan Masyarakat,6,Perempuan,Sangat Tidak Puas,Cukup Puas,Sangat Tidak Puas,Sangat Tidak Puas,Sangat Puas
Hukum,1,Perempuan,Tidak Puas,Sangat Puas,Sangat Tidak Puas,Sangat Tidak Puas,Puas
Teknik Elektro,1,Perempuan,Sangat Puas,Cukup Puas,Tidak Puas,Sangat Puas,Cukup Puas
Administrasi Publik,4,Laki-laki,Sangat Puas,Puas,Cukup Puas,Sangat Tidak Puas,Puas
Teknik Mesin,4,Perempuan,Tidak Puas,Cukup Puas,Puas,Puas,Tidak Puas
Teknik Sipil,1,Laki-laki,Sangat Puas,Cukup Puas,Sangat Puas,Puas,Sangat Puas
Teknik Informatika,5,Laki-laki,Cukup Puas,Puas,Cukup Puas,Cukup Puas,Sangat Puas
Kesehatan Masyarakat,3,Perempuan,Cukup Puas,Puas,Tidak Puas,Tidak Puas,Sangat Tidak Puas
Kimia,5,Laki-laki,Puas,Sangat Tidak Puas,Puas,Sangat Puas,Sangat Puas
Akuntansi,2,Perempuan,Cukup Puas,Cukup Puas,Cukup Puas,Puas,Cukup Puas
Psikologi,6,Laki-laki,Cukup Puas,Puas,Cukup Puas,Cukup Puas,Puas
Farmasi,4,Laki-laki,Puas,Puas,Cukup Puas,Sangat Tidak Puas,Sangat Puas
Sistem Informasi,8,Perempuan,Puas,Puas,Sangat Puas,Cukup Puas,Cukup Puas
Teknik Industri,6,Laki-laki,Tidak Puas,Cukup Puas,Puas,Cukup Puas,Sangat Tidak Puas
Kimia,6,Perempuan,Puas,Sangat Tidak Puas,Tidak Puas,Tidak Puas,Puas
Teknik Sipil,2,Perempuan,Sangat Puas,Puas,Cukup Puas,Cukup Puas,Sangat Tidak Puas
Ilmu Komunikasi,3,Laki-laki,Sangat Tidak Puas,Sangat Puas,Puas,Cukup Puas,Sangat Puas
Administrasi Bisnis,8,Perempuan,Puas,Sangat Tidak Puas,Tidak Puas,Sangat Tidak Puas,Puas
Teknik Mesin,4,Perempuan,Tidak Puas,Sangat Puas,Puas,Tidak Puas,Cukup Puas
Administrasi Bisnis,5,Laki-laki,Tidak Puas,Sangat Tidak Puas,Cukup Puas,Cukup Puas,Puas
Teknik Elektro,7,Laki-laki,Puas,Sangat Puas,Sangat Puas,Tidak Puas,Sangat Tidak Puas
Akuntansi,5,Laki-laki,Sangat Puas,Cukup Puas,Sangat Tidak Puas,Sangat Puas,Puas
Teknik Industri,6,Laki-laki,Sangat Tidak Puas,Tidak Puas,Puas,Tidak Puas,Sangat Tidak Puas
Kimia,1,Laki-laki,Tidak Puas,Sangat Puas,Puas,Sangat Puas,Cukup Puas
Kebidanan,4,Laki-laki,Tidak Puas,Tidak Puas,Cukup Puas,Puas,Sangat Puas
Hukum,5,Laki-laki,Cukup Puas,Cukup Puas,Cukup Puas,Sangat Puas,Cukup Puas
Manajemen,5,Perempuan,Sangat Tidak Puas,Puas,Sangat Tidak Puas,Sangat Puas,Puas
Ilmu Komunikasi,2,Perempuan,Puas,Tidak Puas,Puas,Tidak Puas,Sangat Tidak Puas
Teknik Informatika,5,Perempuan,Tidak Puas,Sangat Tidak Puas,Sangat Tidak Puas,Tidak Puas,Tidak Puas
Arsitektur,8,Perempuan,Puas,Puas,Cukup Puas,Sangat Tidak Puas,Cukup Puas
